"geneChr_Nested"	"geneStart_Nested"	"geneEnd_Nested"	"ENST_Nested"	"SYMBOL_Nested"	"Strand_Nested"	"biotype_Nested"	"geneChr_Host"	"geneStart_Host"	"geneEnd_Host"	"ENST_Host"	"SYMBOL_Host"	"Strand_Host"	"biotype_Host"	"Overlap_size"	"Strandness"
"chr4"	108087356	108087449	"ENSMUST00000183919.1"	"Mir6397"	"+"	"miRNA"	"chr4"	108043838	108118532	"ENSMUST00000030340.14"	"Scp2"	"-"	"protein_coding"	93	"opposite"
"chr4"	108087356	108087449	"ENSMUST00000183919.1"	"Mir6397"	"+"	"miRNA"	"chr4"	108014796	108096445	"ENSMUST00000044248.13"	"Podn"	"-"	"protein_coding"	93	"opposite"
"chr4"	123616419	123616521	"ENSMUST00000184541.1"	"Mir6398"	"+"	"miRNA"	"chr4"	123349632	123684360	"ENSMUST00000097897.10"	"Macf1"	"-"	"protein_coding"	102	"opposite"
"chr4"	138163208	138163292	"ENSMUST00000184050.1"	"Mir6399"	"+"	"miRNA"	"chr4"	137993021	138208508	"ENSMUST00000084215.11"	"Eif4g3"	"+"	"protein_coding"	84	"same"
"chr4"	15942899	15942991	"ENSMUST00000184870.1"	"Mir6400"	"-"	"miRNA"	"chr4"	15917239	15945507	"ENSMUST00000029877.8"	"Decr1"	"-"	"protein_coding"	92	"same"
"chr4"	91373283	91373363	"ENSMUST00000183406.1"	"Mir6402"	"-"	"miRNA"	"chr4"	91250762	91399984	"ENSMUST00000102799.9"	"Elavl2"	"-"	"protein_coding"	80	"same"
"chr4"	134567722	134567851	"ENSMUST00000185007.1"	"Mir6403"	"-"	"miRNA"	"chr4"	134561689	134704290	"ENSMUST00000038628.3"	"Man1c1"	"-"	"protein_coding"	129	"same"
"chr19"	44808405	44808529	"ENSMUST00000184584.1"	"Mir6405"	"+"	"miRNA"	"chr19"	44756044	44837851	"ENSMUST00000174490.8"	"Pax2"	"+"	"protein_coding"	124	"same"
"chr11"	68220891	68221011	"ENSMUST00000183592.1"	"Mir6406"	"+"	"miRNA"	"chr11"	68209363	68400823	"ENSMUST00000108674.8"	"Ntn1"	"-"	"protein_coding"	120	"opposite"
"chr19"	53010655	53010756	"ENSMUST00000184510.1"	"Mir6407"	"-"	"miRNA"	"chr19"	52931925	53038641	"ENSMUST00000236456.1"	"Xpnpep1"	"-"	"protein_coding"	101	"same"
"chr10"	76008925	76009017	"ENSMUST00000184957.1"	"Mir6409"	"+"	"miRNA"	"chr10"	75954513	76009591	"ENSMUST00000099577.3"	"Gm5134"	"+"	"protein_coding"	92	"same"
"chr10"	78434798	78434902	"ENSMUST00000184204.1"	"Mir6410"	"+"	"miRNA"	"chr10"	78428270	78438847	"ENSMUST00000218544.1"	"4921516A02Rik"	"+"	"antisense"	104	"same"
"chr5"	92458556	92458656	"ENSMUST00000184064.1"	"Mir6415"	"+"	"miRNA"	"chr5"	92441313	92505637	"ENSMUST00000031377.8"	"Scarb2"	"-"	"protein_coding"	100	"opposite"
"chr7"	64249982	64250099	"ENSMUST00000183664.1"	"Mir6416"	"-"	"miRNA"	"chr7"	64153834	64269775	"ENSMUST00000085222.11"	"Trpm1"	"+"	"protein_coding"	117	"opposite"
"chr5"	137529479	137529594	"ENSMUST00000185075.1"	"Mir6418"	"-"	"miRNA"	"chr5"	137528126	137533510	"ENSMUST00000031726.14"	"Gnb2"	"-"	"protein_coding"	115	"same"
"chr5"	137529479	137529594	"ENSMUST00000185075.1"	"Mir6418"	"-"	"miRNA"	"chr5"	137483019	137533242	"ENSMUST00000111038.7"	"Epo"	"-"	"protein_coding"	115	"same"
"chr2"	17563513	17563626	"ENSMUST00000184784.1"	"Mir6419"	"+"	"miRNA"	"chr2"	17343908	17731043	"ENSMUST00000028080.11"	"Nebl"	"-"	"protein_coding"	113	"opposite"
"chr3"	99199343	99199453	"ENSMUST00000184617.1"	"Mir6481"	"-"	"miRNA"	"chr3"	99141092	99239186	"ENSMUST00000145650.7"	"Wars2"	"+"	"protein_coding"	110	"opposite"
"chr11"	117077347	117077457	"ENSMUST00000196236.1"	"Mir6516"	"+"	"miRNA"	"chr11"	117076007	117078955	"ENSMUST00000232695.1"	"Snhg20"	"+"	"lincRNA"	110	"same"
"chrX"	142738999	142739097	"ENSMUST00000102057.1"	"Mir652"	"+"	"miRNA"	"chrX"	142681405	142843494	"ENSMUST00000112889.7"	"Tmem164"	"+"	"protein_coding"	98	"same"
"chr6"	3721300	3721385	"ENSMUST00000102402.2"	"Mir653"	"-"	"miRNA"	"chr6"	3685719	3764714	"ENSMUST00000115622.7"	"Calcr"	"-"	"protein_coding"	85	"same"
"chr7"	25097065	25097175	"ENSMUST00000184150.1"	"Mir6537"	"-"	"miRNA"	"chr7"	25087343	25132488	"ENSMUST00000108415.9"	"Pou2f2"	"-"	"protein_coding"	110	"same"
"chr12"	26414900	26415010	"ENSMUST00000183713.1"	"Mir6538"	"-"	"miRNA"	"chr12"	26306793	26415254	"ENSMUST00000020971.13"	"Rnf144a"	"-"	"protein_coding"	110	"same"
"chr14"	67859635	67859745	"ENSMUST00000183732.1"	"Mir6539"	"-"	"miRNA"	"chr14"	67752134	67933432	"ENSMUST00000039135.5"	"Dock5"	"-"	"protein_coding"	110	"same"
"chr16"	42303361	42303469	"ENSMUST00000184886.1"	"Mir6540"	"-"	"miRNA"	"chr16"	42248441	42340651	"ENSMUST00000102817.4"	"Gap43"	"-"	"protein_coding"	108	"same"
"chr14"	62865541	62865651	"ENSMUST00000183649.1"	"Mir6541"	"+"	"miRNA"	"chr14"	62837677	62961509	"ENSMUST00000014691.9"	"Wdfy2"	"+"	"protein_coding"	110	"same"
"chr1"	171064590	171064652	"ENSMUST00000184460.1"	"Mir6546"	"-"	"miRNA"	"chr1"	171057827	171064935	"ENSMUST00000164179.1"	"Fcgr3"	"-"	"protein_coding"	62	"same"
"chr1"	185242974	185243043	"ENSMUST00000196796.1"	"Mir664"	"+"	"miRNA"	"chr1"	185204116	185286759	"ENSMUST00000069652.7"	"Rab3gap2"	"+"	"protein_coding"	69	"same"
"chr12"	109734731	109734797	"ENSMUST00000183620.2"	"Mir668"	"+"	"miRNA"	"chr12"	109729763	109749458	"ENSMUST00000183144.7"	"Mirg"	"+"	"lincRNA"	66	"same"
"chr2"	10476852	10476949	"ENSMUST00000180238.1"	"Mir669a-1"	"+"	"miRNA"	"chr2"	10372435	10595241	"ENSMUST00000116594.8"	"Sfmbt2"	"+"	"protein_coding"	97	"same"
"chr2"	10498910	10498997	"ENSMUST00000197745.1"	"Mir669a-10"	"+"	"miRNA"	"chr2"	10372435	10595241	"ENSMUST00000116594.8"	"Sfmbt2"	"+"	"protein_coding"	87	"same"
"chr2"	10501338	10501425	"ENSMUST00000197952.1"	"Mir669a-11"	"+"	"miRNA"	"chr2"	10372435	10595241	"ENSMUST00000116594.8"	"Sfmbt2"	"+"	"protein_coding"	87	"same"
"chr2"	10503790	10503877	"ENSMUST00000197274.1"	"Mir669a-12"	"+"	"miRNA"	"chr2"	10372435	10595241	"ENSMUST00000116594.8"	"Sfmbt2"	"+"	"protein_coding"	87	"same"
"chr2"	10510163	10510260	"ENSMUST00000102060.1"	"Mir669a-2"	"+"	"miRNA"	"chr2"	10372435	10595241	"ENSMUST00000116594.8"	"Sfmbt2"	"+"	"protein_coding"	97	"same"
"chr2"	10474432	10474541	"ENSMUST00000102074.1"	"Mir669a-3"	"+"	"miRNA"	"chr2"	10372435	10595241	"ENSMUST00000116594.8"	"Sfmbt2"	"+"	"protein_coding"	109	"same"
"chr2"	10479314	10479401	"ENSMUST00000198665.1"	"Mir669a-4"	"+"	"miRNA"	"chr2"	10372435	10595241	"ENSMUST00000116594.8"	"Sfmbt2"	"+"	"protein_coding"	87	"same"
"chr2"	10481760	10481847	"ENSMUST00000197439.1"	"Mir669a-5"	"+"	"miRNA"	"chr2"	10372435	10595241	"ENSMUST00000116594.8"	"Sfmbt2"	"+"	"protein_coding"	87	"same"
"chr2"	10484195	10484282	"ENSMUST00000196127.1"	"Mir669a-6"	"+"	"miRNA"	"chr2"	10372435	10595241	"ENSMUST00000116594.8"	"Sfmbt2"	"+"	"protein_coding"	87	"same"
"chr2"	10486652	10486739	"ENSMUST00000180364.2"	"Mir669a-7"	"+"	"miRNA"	"chr2"	10372435	10595241	"ENSMUST00000116594.8"	"Sfmbt2"	"+"	"protein_coding"	87	"same"
"chr2"	10491565	10491652	"ENSMUST00000200268.1"	"Mir669a-8"	"+"	"miRNA"	"chr2"	10372435	10595241	"ENSMUST00000116594.8"	"Sfmbt2"	"+"	"protein_coding"	87	"same"
"chr2"	10494027	10494114	"ENSMUST00000200087.1"	"Mir669a-9"	"+"	"miRNA"	"chr2"	10372435	10595241	"ENSMUST00000116594.8"	"Sfmbt2"	"+"	"protein_coding"	87	"same"
"chr2"	10467789	10467886	"ENSMUST00000102172.1"	"Mir669b"	"+"	"miRNA"	"chr2"	10372435	10595241	"ENSMUST00000116594.8"	"Sfmbt2"	"+"	"protein_coding"	97	"same"
"chr2"	10509295	10509404	"ENSMUST00000084675.2"	"Mir669c"	"+"	"miRNA"	"chr2"	10372435	10595241	"ENSMUST00000116594.8"	"Sfmbt2"	"+"	"protein_coding"	109	"same"
"chr2"	10468342	10468463	"ENSMUST00000104644.1"	"Mir669d"	"+"	"miRNA"	"chr2"	10372435	10595241	"ENSMUST00000116594.8"	"Sfmbt2"	"+"	"protein_coding"	121	"same"
"chr2"	10471643	10471729	"ENSMUST00000116854.1"	"Mir669d-2"	"+"	"miRNA"	"chr2"	10372435	10595241	"ENSMUST00000116594.8"	"Sfmbt2"	"+"	"protein_coding"	86	"same"
"chr2"	10467494	10467613	"ENSMUST00000117003.1"	"Mir669e"	"+"	"miRNA"	"chr2"	10372435	10595241	"ENSMUST00000116594.8"	"Sfmbt2"	"+"	"protein_coding"	119	"same"
"chr2"	10467228	10467349	"ENSMUST00000103850.1"	"Mir669f"	"+"	"miRNA"	"chr2"	10372435	10595241	"ENSMUST00000116594.8"	"Sfmbt2"	"+"	"protein_coding"	121	"same"
"chr2"	10477149	10477272	"ENSMUST00000116809.1"	"Mir669g"	"+"	"miRNA"	"chr2"	10372435	10595241	"ENSMUST00000116594.8"	"Sfmbt2"	"+"	"protein_coding"	123	"same"
"chr2"	10518154	10518279	"ENSMUST00000116944.1"	"Mir669h"	"+"	"miRNA"	"chr2"	10372435	10595241	"ENSMUST00000116594.8"	"Sfmbt2"	"+"	"protein_coding"	125	"same"
"chr2"	10517603	10517730	"ENSMUST00000117007.1"	"Mir669i"	"+"	"miRNA"	"chr2"	10372435	10595241	"ENSMUST00000116594.8"	"Sfmbt2"	"+"	"protein_coding"	127	"same"
"chr2"	10477909	10478030	"ENSMUST00000179023.1"	"Mir669j"	"+"	"miRNA"	"chr2"	10372435	10595241	"ENSMUST00000116594.8"	"Sfmbt2"	"+"	"protein_coding"	121	"same"
"chr2"	10475299	10475426	"ENSMUST00000177742.1"	"Mir669k"	"+"	"miRNA"	"chr2"	10372435	10595241	"ENSMUST00000116594.8"	"Sfmbt2"	"+"	"protein_coding"	127	"same"
"chr2"	10468970	10469068	"ENSMUST00000103771.1"	"Mir669l"	"+"	"miRNA"	"chr2"	10372435	10595241	"ENSMUST00000116594.8"	"Sfmbt2"	"+"	"protein_coding"	98	"same"
"chr2"	10512789	10512887	"ENSMUST00000158945.1"	"Mir669m-1"	"+"	"miRNA"	"chr2"	10372435	10595241	"ENSMUST00000116594.8"	"Sfmbt2"	"+"	"protein_coding"	98	"same"
"chr2"	10513433	10513531	"ENSMUST00000158355.1"	"Mir669m-2"	"+"	"miRNA"	"chr2"	10372435	10595241	"ENSMUST00000116594.8"	"Sfmbt2"	"+"	"protein_coding"	98	"same"
"chr3"	115979901	115979955	"ENSMUST00000158636.1"	"Mir669n"	"+"	"miRNA"	"chr3"	115938972	116007406	"ENSMUST00000067485.3"	"Slc30a7"	"-"	"protein_coding"	54	"opposite"
"chr2"	10514299	10514395	"ENSMUST00000103898.1"	"Mir669o"	"+"	"miRNA"	"chr2"	10372435	10595241	"ENSMUST00000116594.8"	"Sfmbt2"	"+"	"protein_coding"	96	"same"
"chr2"	10489115	10489202	"ENSMUST00000103884.1"	"Mir669p-1"	"+"	"miRNA"	"chr2"	10372435	10595241	"ENSMUST00000116594.8"	"Sfmbt2"	"+"	"protein_coding"	87	"same"
"chr2"	10496496	10496583	"ENSMUST00000103868.1"	"Mir669p-2"	"+"	"miRNA"	"chr2"	10372435	10595241	"ENSMUST00000116594.8"	"Sfmbt2"	"+"	"protein_coding"	87	"same"
"chr2"	94261299	94261399	"ENSMUST00000102380.1"	"Mir670"	"-"	"miRNA"	"chr2"	94160636	94264918	"ENSMUST00000211430.1"	"Mir670hg"	"-"	"lincRNA"	100	"same"
"chr5"	24592113	24592211	"ENSMUST00000102432.1"	"Mir671"	"+"	"miRNA"	"chr5"	24590817	24601976	"ENSMUST00000144995.7"	"Smarcd3"	"-"	"protein_coding"	98	"opposite"
"chr5"	24592113	24592211	"ENSMUST00000102432.1"	"Mir671"	"+"	"miRNA"	"chr5"	24586740	24594395	"ENSMUST00000088295.8"	"Chpf2"	"+"	"protein_coding"	98	"same"
"chr19"	55192677	55192734	"ENSMUST00000184990.1"	"Mir6715"	"+"	"miRNA"	"chr19"	55180884	55196313	"ENSMUST00000025936.11"	"Tectb"	"+"	"protein_coding"	57	"same"
"chrX"	104116174	104116274	"ENSMUST00000102331.1"	"Mir672"	"-"	"miRNA"	"chrX"	104077433	104201185	"ENSMUST00000118314.7"	"Nexmif"	"-"	"protein_coding"	100	"same"
"chr7"	142577063	142577147	"ENSMUST00000102320.1"	"Mir675"	"-"	"miRNA"	"chr7"	142575528	142578143	"ENSMUST00000136359.7"	"H19"	"-"	"lincRNA"	84	"same"
"chrX"	100381096	100381185	"ENSMUST00000102443.1"	"Mir676"	"+"	"miRNA"	"chrX"	99975605	100400762	"ENSMUST00000113778.7"	"Eda"	"+"	"protein_coding"	89	"same"
"chr8"	71631046	71631106	"ENSMUST00000184793.1"	"Mir6769b"	"-"	"miRNA"	"chr8"	71624416	71671757	"ENSMUST00000030170.14"	"Unc13a"	"-"	"protein_coding"	60	"same"
"chr10"	128085285	128085363	"ENSMUST00000197076.1"	"Mir677"	"+"	"miRNA"	"chr10"	128083272	128090391	"ENSMUST00000026459.5"	"Atp5b"	"+"	"protein_coding"	78	"same"
"chr10"	76207325	76207409	"ENSMUST00000102114.1"	"Mir678"	"-"	"miRNA"	"chr10"	76207221	76237865	"ENSMUST00000099571.9"	"Prmt2"	"-"	"protein_coding"	84	"same"
"chr12"	69763834	69763944	"ENSMUST00000102111.1"	"Mir681"	"-"	"miRNA"	"chr12"	69746847	69790707	"ENSMUST00000021377.4"	"Cdkl1"	"-"	"protein_coding"	110	"same"
"chr2"	80628704	80628790	"ENSMUST00000196622.1"	"Mir684-1"	"-"	"miRNA"	"chr2"	80617265	80632361	"ENSMUST00000151204.1"	"Dusp19"	"+"	"protein_coding"	86	"opposite"
"chr2"	80628704	80628790	"ENSMUST00000196622.1"	"Mir684-1"	"-"	"miRNA"	"chr2"	80617235	80658906	"ENSMUST00000135305.7"	"Nup35"	"+"	"protein_coding"	86	"opposite"
"chr14"	54616676	54616785	"ENSMUST00000102174.1"	"Mir686"	"-"	"miRNA"	"chr14"	54614118	54618022	"ENSMUST00000022803.5"	"Psmb5"	"-"	"protein_coding"	109	"same"
"chr14"	73206762	73206851	"ENSMUST00000102166.1"	"Mir687"	"-"	"miRNA"	"chr14"	73195501	73325822	"ENSMUST00000022701.6"	"Rb1"	"-"	"protein_coding"	89	"same"
"chr14"	73206762	73206851	"ENSMUST00000102166.1"	"Mir687"	"-"	"miRNA"	"chr14"	73142862	73207843	"ENSMUST00000171767.7"	"Rcbtb2"	"+"	"protein_coding"	89	"opposite"
"chr15"	102671791	102671866	"ENSMUST00000102055.1"	"Mir688"	"-"	"miRNA"	"chr15"	102665800	102672352	"ENSMUST00000186952.1"	"Atp5g2"	"-"	"protein_coding"	75	"same"
"chr1"	34117358	34117431	"ENSMUST00000198033.1"	"Mir6896"	"+"	"miRNA"	"chr1"	33908224	34307592	"ENSMUST00000183034.4"	"Dst"	"+"	"protein_coding"	73	"same"
"chr1"	36144251	36144313	"ENSMUST00000184790.1"	"Mir6897"	"-"	"miRNA"	"chr1"	36140026	36244305	"ENSMUST00000046875.13"	"Uggt1"	"-"	"protein_coding"	62	"same"
"chr1"	36348681	36348758	"ENSMUST00000184898.1"	"Mir6898"	"-"	"miRNA"	"chr1"	36335729	36369181	"ENSMUST00000010597.9"	"Kansl3"	"-"	"protein_coding"	77	"same"
"chr1"	64042437	64042501	"ENSMUST00000184798.1"	"Mir6899"	"-"	"miRNA"	"chr1"	64029446	64121491	"ENSMUST00000114086.7"	"Klf7"	"-"	"protein_coding"	64	"same"
"chr16"	28599934	28600043	"ENSMUST00000102110.1"	"Mir690"	"-"	"miRNA"	"chr16"	28162353	28753068	"ENSMUST00000232352.1"	"Fgf12"	"-"	"protein_coding"	109	"same"
"chr1"	92464482	92464542	"ENSMUST00000183483.1"	"Mir6900"	"-"	"miRNA"	"chr1"	92439009	92473860	"ENSMUST00000027478.6"	"Ndufa10"	"-"	"protein_coding"	60	"same"
"chr1"	93274548	93274610	"ENSMUST00000185062.1"	"Mir6901"	"+"	"miRNA"	"chr1"	93235840	93301065	"ENSMUST00000062202.13"	"Sned1"	"+"	"protein_coding"	62	"same"
"chr1"	93346091	93346155	"ENSMUST00000198980.1"	"Mir6902"	"+"	"miRNA"	"chr1"	93342853	93373489	"ENSMUST00000027494.10"	"Ppp1r7"	"+"	"protein_coding"	64	"same"
"chr1"	133726557	133726645	"ENSMUST00000183597.1"	"Mir6903"	"-"	"miRNA"	"chr1"	133699456	133801041	"ENSMUST00000143567.7"	"Atp2b4"	"-"	"protein_coding"	88	"same"
"chr1"	180587200	180587267	"ENSMUST00000183443.1"	"Mir6904"	"+"	"miRNA"	"chr1"	180568928	180601254	"ENSMUST00000027777.11"	"Parp1"	"+"	"protein_coding"	67	"same"
"chr10"	24910663	24910733	"ENSMUST00000184228.1"	"Mir6905"	"+"	"miRNA"	"chr10"	24869985	24913681	"ENSMUST00000092646.12"	"Med23"	"+"	"protein_coding"	70	"same"
"chr10"	60126775	60126833	"ENSMUST00000198998.1"	"Mir6906"	"+"	"miRNA"	"chr10"	60106218	60135198	"ENSMUST00000121820.8"	"Spock2"	"+"	"protein_coding"	58	"same"
"chr10"	78408474	78408545	"ENSMUST00000183764.1"	"Mir6907"	"-"	"miRNA"	"chr10"	78400385	78413043	"ENSMUST00000062678.10"	"Rrp1"	"-"	"protein_coding"	71	"same"
"chr10"	78445094	78445157	"ENSMUST00000184056.1"	"Mir6908"	"-"	"miRNA"	"chr10"	78436743	78464975	"ENSMUST00000041616.14"	"Pdxk"	"-"	"protein_coding"	63	"same"
"chr10"	79531028	79531090	"ENSMUST00000184212.1"	"Mir6909"	"-"	"miRNA"	"chr10"	79526429	79533796	"ENSMUST00000063879.12"	"Plpp2"	"-"	"protein_coding"	62	"same"
"chr16"	74341989	74342067	"ENSMUST00000199719.1"	"Mir691"	"-"	"miRNA"	"chr16"	73891838	74410989	"ENSMUST00000117785.8"	"Robo2"	"-"	"protein_coding"	78	"same"
"chr10"	79862586	79862652	"ENSMUST00000184090.1"	"Mir6910"	"+"	"miRNA"	"chr10"	79854628	79864771	"ENSMUST00000165704.7"	"Ptbp1"	"+"	"protein_coding"	66	"same"
"chr10"	79862586	79862652	"ENSMUST00000184090.1"	"Mir6910"	"+"	"miRNA"	"chr10"	79860474	79874570	"ENSMUST00000167250.7"	"Plppr3"	"-"	"protein_coding"	66	"opposite"
"chr10"	80278163	80278232	"ENSMUST00000184241.1"	"Mir6911"	"+"	"miRNA"	"chr10"	80264983	80288408	"ENSMUST00000105362.7"	"Dazap1"	"+"	"protein_coding"	69	"same"
"chr10"	80609259	80609329	"ENSMUST00000184456.1"	"Mir6912"	"+"	"miRNA"	"chr10"	80606020	80615784	"ENSMUST00000218067.1"	"Gm49322"	"+"	"protein_coding"	70	"same"
"chr10"	80609259	80609329	"ENSMUST00000184456.1"	"Mir6912"	"+"	"miRNA"	"chr10"	80602879	80615783	"ENSMUST00000079883.11"	"Scamp4"	"+"	"protein_coding"	70	"same"
"chr10"	81386346	81386412	"ENSMUST00000184244.1"	"Mir6913"	"+"	"miRNA"	"chr10"	81384427	81388352	"ENSMUST00000072751.12"	"Dohh"	"+"	"protein_coding"	66	"same"
"chr10"	81386346	81386412	"ENSMUST00000184244.1"	"Mir6913"	"+"	"miRNA"	"chr10"	81384465	81391560	"ENSMUST00000144647.7"	"Gm48551"	"+"	"protein_coding"	66	"same"
"chr10"	128382837	128382906	"ENSMUST00000184999.1"	"Mir6914"	"+"	"miRNA"	"chr10"	128377118	128394006	"ENSMUST00000014642.9"	"Ankrd52"	"+"	"protein_coding"	69	"same"
"chr10"	128388831	128388900	"ENSMUST00000198839.1"	"Mir6915"	"+"	"miRNA"	"chr10"	128377118	128394006	"ENSMUST00000014642.9"	"Ankrd52"	"+"	"protein_coding"	69	"same"
"chr10"	128511967	128512030	"ENSMUST00000184514.1"	"Mir6916"	"-"	"miRNA"	"chr10"	128509964	128525870	"ENSMUST00000026427.7"	"Esyt1"	"-"	"protein_coding"	63	"same"
"chr10"	128584436	128584497	"ENSMUST00000184111.1"	"Mir6917"	"-"	"miRNA"	"chr10"	128567522	128589652	"ENSMUST00000082059.6"	"Erbb3"	"-"	"protein_coding"	61	"same"
"chr11"	4891344	4891402	"ENSMUST00000183479.1"	"Mir6918"	"+"	"miRNA"	"chr11"	4873950	4894200	"ENSMUST00000038570.8"	"Nipsnap1"	"+"	"protein_coding"	58	"same"
"chr11"	50232244	50232306	"ENSMUST00000185146.1"	"Mir6919"	"+"	"miRNA"	"chr11"	50225334	50235103	"ENSMUST00000041725.13"	"Mgat4b"	"+"	"protein_coding"	62	"same"
"chr4"	125504748	125504857	"ENSMUST00000102081.1"	"Mir692-2"	"+"	"miRNA"	"chr4"	125490699	125714173	"ENSMUST00000030676.7"	"Grik3"	"+"	"protein_coding"	109	"same"
"chr13"	74407064	74407173	"ENSMUST00000102079.1"	"Mir692-3"	"+"	"miRNA"	"chr13"	74406408	74407346	"ENSMUST00000222435.1"	"Ftl1-ps1"	"+"	"protein_coding"	109	"same"
"chr11"	53409196	53409267	"ENSMUST00000195888.1"	"Mir6920"	"+"	"miRNA"	"chr11"	53350832	53421830	"ENSMUST00000060945.11"	"Aff4"	"+"	"protein_coding"	71	"same"
"chr11"	60200537	60200617	"ENSMUST00000183719.1"	"Mir6921"	"-"	"miRNA"	"chr11"	60199088	60220604	"ENSMUST00000020846.7"	"Srebf1"	"-"	"protein_coding"	80	"same"
"chr11"	60202261	60202327	"ENSMUST00000185099.1"	"Mir6922"	"-"	"miRNA"	"chr11"	60199088	60220604	"ENSMUST00000020846.7"	"Srebf1"	"-"	"protein_coding"	66	"same"
"chr11"	67099803	67099875	"ENSMUST00000184592.1"	"Mir6923"	"+"	"miRNA"	"chr11"	67078299	67102291	"ENSMUST00000007301.13"	"Myh3"	"+"	"protein_coding"	72	"same"
"chr11"	69882031	69882094	"ENSMUST00000198919.1"	"Mir6924"	"-"	"miRNA"	"chr11"	69881566	69895539	"ENSMUST00000001631.6"	"Acap1"	"-"	"protein_coding"	63	"same"
"chr11"	70705989	70706059	"ENSMUST00000197857.1"	"Mir6925"	"+"	"miRNA"	"chr11"	70700547	70731964	"ENSMUST00000102554.7"	"Kif1c"	"+"	"protein_coding"	70	"same"
"chr11"	74868126	74868194	"ENSMUST00000184562.1"	"Mir6926"	"-"	"miRNA"	"chr11"	74849260	74897060	"ENSMUST00000057631.11"	"Sgsm2"	"-"	"protein_coding"	68	"same"
"chr11"	97677059	97677130	"ENSMUST00000184494.1"	"Mir6927"	"+"	"miRNA"	"chr11"	97663413	97685463	"ENSMUST00000044730.11"	"Mllt6"	"+"	"protein_coding"	71	"same"
"chr11"	101030339	101030409	"ENSMUST00000185166.1"	"Mir6928"	"+"	"miRNA"	"chr11"	101009451	101063719	"ENSMUST00000044721.12"	"Atp6v0a1"	"+"	"protein_coding"	70	"same"
"chr11"	101419186	101419253	"ENSMUST00000185077.1"	"Mir6929"	"-"	"miRNA"	"chr11"	101406838	101424796	"ENSMUST00000107259.3"	"Gm27029"	"-"	"protein_coding"	67	"same"
"chr11"	101419186	101419253	"ENSMUST00000185077.1"	"Mir6929"	"-"	"miRNA"	"chr11"	101418811	101425333	"ENSMUST00000103102.9"	"Ptges3l"	"-"	"protein_coding"	67	"same"
"chr17"	46231530	46231619	"ENSMUST00000102187.1"	"Mir693"	"+"	"miRNA"	"chr17"	46202781	46243598	"ENSMUST00000087031.6"	"Xpo5"	"+"	"protein_coding"	89	"same"
"chr11"	102404919	102404987	"ENSMUST00000183859.1"	"Mir6930"	"-"	"miRNA"	"chr11"	102402984	102407544	"ENSMUST00000018821.8"	"Slc25a39"	"-"	"protein_coding"	68	"same"
"chr11"	102999847	102999921	"ENSMUST00000184841.1"	"Mir6931"	"-"	"miRNA"	"chr11"	102999643	103028304	"ENSMUST00000155490.2"	"Dcakd"	"-"	"protein_coding"	74	"same"
"chr11"	107637721	107637779	"ENSMUST00000185044.1"	"Mir6932"	"+"	"miRNA"	"chr11"	107547967	107693826	"ENSMUST00000106746.7"	"Helz"	"+"	"protein_coding"	58	"same"
"chr11"	118002269	118002350	"ENSMUST00000184982.1"	"Mir6933"	"+"	"miRNA"	"chr11"	117986291	118024011	"ENSMUST00000132676.7"	"Pgs1"	"+"	"protein_coding"	81	"same"
"chr11"	119154075	119154137	"ENSMUST00000183965.1"	"Mir6934"	"-"	"miRNA"	"chr11"	119143044	119228499	"ENSMUST00000036113.3"	"Tbc1d16"	"-"	"protein_coding"	62	"same"
"chr11"	120347349	120347413	"ENSMUST00000183615.1"	"Mir6935"	"-"	"miRNA"	"chr11"	120345689	120348542	"ENSMUST00000071555.12"	"Actg1"	"-"	"protein_coding"	64	"same"
"chr11"	120624822	120624876	"ENSMUST00000183547.1"	"Mir6936"	"-"	"miRNA"	"chr11"	120618371	120625240	"ENSMUST00000127882.7"	"Sirt7"	"-"	"protein_coding"	54	"same"
"chr12"	28679324	28679389	"ENSMUST00000184974.1"	"Mir6937"	"+"	"miRNA"	"chr12"	28675230	28682175	"ENSMUST00000020957.12"	"Adi1"	"+"	"protein_coding"	65	"same"
"chr12"	85245922	85245985	"ENSMUST00000184173.1"	"Mir6938"	"-"	"miRNA"	"chr12"	85234519	85270599	"ENSMUST00000019378.7"	"Mlh3"	"-"	"protein_coding"	63	"same"
"chr12"	112659276	112659351	"ENSMUST00000184981.1"	"Mir6939"	"-"	"miRNA"	"chr12"	112653820	112674276	"ENSMUST00000001780.9"	"Akt1"	"-"	"protein_coding"	75	"same"
"chr18"	66219263	66219333	"ENSMUST00000102193.1"	"Mir694"	"-"	"miRNA"	"chr18"	66045301	66291446	"ENSMUST00000146610.1"	"Ccbe1"	"-"	"protein_coding"	70	"same"
"chr12"	112733321	112733391	"ENSMUST00000183447.1"	"Mir6940"	"+"	"miRNA"	"chr12"	112722173	112746592	"ENSMUST00000101018.10"	"Cep170b"	"+"	"protein_coding"	70	"same"
"chr12"	112920482	112920541	"ENSMUST00000184711.1"	"Mir6941"	"-"	"miRNA"	"chr12"	112907818	112929776	"ENSMUST00000075827.4"	"Jag2"	"-"	"protein_coding"	59	"same"
"chr13"	21396577	21396638	"ENSMUST00000184464.1"	"Mir6942"	"-"	"miRNA"	"chr13"	21387002	21402755	"ENSMUST00000116434.10"	"Zkscan3"	"-"	"protein_coding"	61	"same"
