"geneChr_Nested"	"geneStart_Nested"	"geneEnd_Nested"	"ENST_Nested"	"SYMBOL_Nested"	"Strand_Nested"	"biotype_Nested"	"geneChr_Host"	"geneStart_Host"	"geneEnd_Host"	"ENST_Host"	"SYMBOL_Host"	"Strand_Host"	"biotype_Host"	"Overlap_size"	"Strandness"	"pairid"
"12334"	"chr15"	25328734	25328826	"ENST00000383929.1"	"SNORD116-17"	"+"	"snoRNA"	"chr15"	25295778	25383903	"ENST00000549804.7_2"	"SNHG14"	"+"	"lncRNA"	92	"same"	"12334_ID"
"12335"	"chr15"	25330531	25330623	"ENST00000383961.1"	"SNORD116-18"	"+"	"snoRNA"	"chr15"	25295778	25383903	"ENST00000549804.7_2"	"SNHG14"	"+"	"lncRNA"	92	"same"	"12335_ID"
"12336"	"chr15"	25331673	25331765	"ENST00000384729.1"	"SNORD116-19"	"+"	"snoRNA"	"chr15"	25295778	25383903	"ENST00000549804.7_2"	"SNHG14"	"+"	"lncRNA"	92	"same"	"12336_ID"
"12337"	"chr15"	25299356	25299451	"ENST00000384274.1"	"SNORD116-2"	"+"	"snoRNA"	"chr15"	25295778	25383903	"ENST00000549804.7_2"	"SNHG14"	"+"	"lncRNA"	95	"same"	"12337_ID"
"12338"	"chr15"	25336932	25337024	"ENST00000384645.1"	"SNORD116-23"	"+"	"snoRNA"	"chr15"	25295778	25383903	"ENST00000549804.7_2"	"SNHG14"	"+"	"lncRNA"	92	"same"	"12338_ID"
"12339"	"chr15"	25339183	25339275	"ENST00000384549.1"	"SNORD116-24"	"+"	"snoRNA"	"chr15"	25336932	25352616	"ENST00000670881.1_3"	"AC124312.5"	"-"	"lncRNA"	92	"opposite"	"12339_ID"
"12340"	"chr15"	25339183	25339275	"ENST00000384549.1"	"SNORD116-24"	"+"	"snoRNA"	"chr15"	25295778	25383903	"ENST00000549804.7_2"	"SNHG14"	"+"	"lncRNA"	92	"same"	"12340_ID"
"12341"	"chr15"	25342809	25342901	"ENST00000516517.1"	"SNORD116-25"	"+"	"snoRNA"	"chr15"	25336932	25352616	"ENST00000670881.1_3"	"AC124312.5"	"-"	"lncRNA"	92	"opposite"	"12341_ID"
"12342"	"chr15"	25342809	25342901	"ENST00000516517.1"	"SNORD116-25"	"+"	"snoRNA"	"chr15"	25295778	25383903	"ENST00000549804.7_2"	"SNHG14"	"+"	"lncRNA"	92	"same"	"12342_ID"
"12343"	"chr15"	25344645	25344741	"ENST00000516006.1"	"SNORD116-26"	"+"	"snoRNA"	"chr15"	25295778	25383903	"ENST00000549804.7_2"	"SNHG14"	"+"	"lncRNA"	96	"same"	"12343_ID"
"12344"	"chr15"	25344645	25344741	"ENST00000516006.1"	"SNORD116-26"	"+"	"snoRNA"	"chr15"	25336932	25352616	"ENST00000670881.1_3"	"AC124312.5"	"-"	"lncRNA"	96	"opposite"	"12344_ID"
"12345"	"chr15"	25346721	25346813	"ENST00000516087.1"	"SNORD116-27"	"+"	"snoRNA"	"chr15"	25336932	25352616	"ENST00000670881.1_3"	"AC124312.5"	"-"	"lncRNA"	92	"opposite"	"12345_ID"
"12346"	"chr15"	25346721	25346813	"ENST00000516087.1"	"SNORD116-27"	"+"	"snoRNA"	"chr15"	25295778	25383903	"ENST00000549804.7_2"	"SNHG14"	"+"	"lncRNA"	92	"same"	"12346_ID"
"12347"	"chr15"	25351667	25351750	"ENST00000384516.1"	"SNORD116-29"	"+"	"snoRNA"	"chr15"	25336932	25352616	"ENST00000670881.1_3"	"AC124312.5"	"-"	"lncRNA"	83	"opposite"	"12347_ID"
"12348"	"chr15"	25351667	25351750	"ENST00000384516.1"	"SNORD116-29"	"+"	"snoRNA"	"chr15"	25295778	25383903	"ENST00000549804.7_2"	"SNHG14"	"+"	"lncRNA"	83	"same"	"12348_ID"
"12349"	"chr15"	25302006	25302101	"ENST00000384287.1"	"SNORD116-3"	"+"	"snoRNA"	"chr15"	25295778	25383903	"ENST00000549804.7_2"	"SNHG14"	"+"	"lncRNA"	95	"same"	"12349_ID"
"12350"	"chr15"	25353414	25353499	"ENST00000516468.1"	"SNORD116-30"	"+"	"snoRNA"	"chr15"	25295778	25383903	"ENST00000549804.7_2"	"SNHG14"	"+"	"lncRNA"	85	"same"	"12350_ID"
"12351"	"chr15"	25307479	25307574	"ENST00000384462.1"	"SNORD116-5"	"+"	"snoRNA"	"chr15"	25295778	25383903	"ENST00000549804.7_2"	"SNHG14"	"+"	"lncRNA"	95	"same"	"12351_ID"
"12352"	"chr15"	25310172	25310268	"ENST00000384711.1"	"SNORD116-6"	"+"	"snoRNA"	"chr15"	25295778	25383903	"ENST00000549804.7_2"	"SNHG14"	"+"	"lncRNA"	96	"same"	"12352_ID"
"12353"	"chr15"	25312934	25313029	"ENST00000384404.1"	"SNORD116-7"	"+"	"snoRNA"	"chr15"	25295778	25383903	"ENST00000549804.7_2"	"SNHG14"	"+"	"lncRNA"	95	"same"	"12353_ID"
"12354"	"chr15"	25315578	25315673	"ENST00000384365.1"	"SNORD116-8"	"+"	"snoRNA"	"chr15"	25295778	25383903	"ENST00000549804.7_2"	"SNHG14"	"+"	"lncRNA"	95	"same"	"12354_ID"
"12355"	"chr15"	25318253	25318348	"ENST00000384000.1"	"SNORD116-9"	"+"	"snoRNA"	"chr15"	25295778	25383903	"ENST00000549804.7_2"	"SNHG14"	"+"	"lncRNA"	95	"same"	"12355_ID"
"12356"	"chr6"	31504150	31504226	"ENST00000364915.1"	"SNORD117"	"-"	"snoRNA"	"chr6"	31497995	31514359	"ENST00000376185.5_3"	"ATP6V1G2-DDX39B"	"-"	"nonsense_mediated_decay"	76	"same"	"12356_ID"
"12357"	"chr6"	31504150	31504226	"ENST00000364915.1"	"SNORD117"	"-"	"snoRNA"	"chr6"	31497995	31510225	"ENST00000458640.5_3"	"DDX39B"	"-"	"protein_coding"	76	"same"	"12357_ID"
"12358"	"chr17"	8076771	8076905	"ENST00000363593.1"	"SNORD118"	"-"	"snoRNA"	"chr17"	8075774	8079698	"ENST00000437139.7_6"	"TMEM107"	"-"	"protein_coding"	134	"same"	"12358_ID"
"12359"	"chr20"	2443607	2443683	"ENST00000515997.1"	"SNORD119"	"-"	"snoRNA"	"chr20"	2442279	2451499	"ENST00000438552.6_5"	"SNRPB"	"-"	"protein_coding"	76	"same"	"12359_ID"
"12360"	"chr2"	203156054	203156144	"ENST00000607707.1"	"SNORD11B"	"+"	"snoRNA"	"chr2"	203130485	203168384	"ENST00000264279.10_2"	"NOP58"	"+"	"protein_coding"	90	"same"	"12360_ID"
"12361"	"chr20"	47897219	47897309	"ENST00000391002.1"	"SNORD12"	"+"	"snoRNA"	"chr20"	47895178	47916137	"ENST00000620594.2_2"	"ZFAS1"	"+"	"lncRNA"	90	"same"	"12361_ID"
"12362"	"chr9"	33952766	33952848	"ENST00000459386.1"	"SNORD121A"	"-"	"snoRNA"	"chr9"	33921690	34048947	"ENST00000360802.5_3"	"UBAP2"	"-"	"protein_coding"	82	"same"	"12362_ID"
"12363"	"chr9"	33934293	33934374	"ENST00000458838.1"	"SNORD121B"	"-"	"snoRNA"	"chr9"	33921690	34048947	"ENST00000360802.5_3"	"UBAP2"	"-"	"protein_coding"	81	"same"	"12363_ID"
"12364"	"chr5"	9548947	9549017	"ENST00000459473.1"	"SNORD123"	"+"	"snoRNA"	"chr5"	9546311	9550721	"ENST00000508179.1_1"	"SNHG18"	"+"	"lncRNA"	70	"same"	"12364_ID"
"12365"	"chr17"	38183794	38183898	"ENST00000459577.1"	"SNORD124"	"-"	"snoRNA"	"chr17"	38175350	38210660	"ENST00000356271.7_3"	"MED24"	"-"	"protein_coding"	104	"same"	"12365_ID"
"12366"	"chr22"	29729151	29729247	"ENST00000459538.1"	"SNORD125"	"-"	"snoRNA"	"chr22"	29724809	29819168	"ENST00000415447.5_5"	"AP1B1"	"-"	"protein_coding"	96	"same"	"12366_ID"
"12367"	"chr14"	20794608	20794685	"ENST00000459475.1"	"SNORD126"	"-"	"snoRNA"	"chr14"	20779526	20801471	"ENST00000353689.8_3"	"CCNB1IP1"	"-"	"protein_coding"	77	"same"	"12367_ID"
"12368"	"chr14"	45580085	45580171	"ENST00000458892.1"	"SNORD127"	"+"	"snoRNA"	"chr14"	45553318	45585485	"ENST00000355765.11_2"	"PRPF39"	"+"	"protein_coding"	86	"same"	"12368_ID"
"12369"	"chr20"	47896855	47896946	"ENST00000410433.1"	"SNORD12B"	"+"	"snoRNA"	"chr20"	47895178	47916137	"ENST00000620594.2_2"	"ZFAS1"	"+"	"lncRNA"	91	"same"	"12369_ID"
"12370"	"chr20"	47895476	47895565	"ENST00000386307.1"	"SNORD12C"	"+"	"snoRNA"	"chr20"	47895178	47916137	"ENST00000620594.2_2"	"ZFAS1"	"+"	"lncRNA"	89	"same"	"12370_ID"
"12371"	"chr2"	25192256	25192346	"ENST00000365609.1"	"SNORD14"	"-"	"snoRNA"	"chr2"	25166504	25194963	"ENST00000534855.5_3"	"DNAJC27"	"-"	"protein_coding"	90	"same"	"12371_ID"
"12372"	"chr11"	17096200	17096291	"ENST00000606526.1"	"SNORD14A"	"-"	"snoRNA"	"chr11"	17095935	17099253	"ENST00000526895.5_3"	"RPS13"	"-"	"processed_transcript"	91	"same"	"12372_ID"
"12373"	"chr11"	17097325	17097415	"ENST00000364533.1"	"SNORD14B"	"-"	"snoRNA"	"chr11"	17095935	17099253	"ENST00000526895.5_3"	"RPS13"	"-"	"processed_transcript"	90	"same"	"12373_ID"
"12374"	"chr11"	122930042	122930130	"ENST00000365382.1"	"SNORD14C"	"-"	"snoRNA"	"chr11"	122928196	122933043	"ENST00000453788.6_3"	"HSPA8"	"-"	"protein_coding"	88	"same"	"12374_ID"
"12375"	"chr11"	122929616	122929703	"ENST00000384390.1"	"SNORD14D"	"-"	"snoRNA"	"chr11"	122928196	122933043	"ENST00000453788.6_3"	"HSPA8"	"-"	"protein_coding"	87	"same"	"12375_ID"
"12376"	"chr11"	122928784	122928869	"ENST00000364009.1"	"SNORD14E"	"-"	"snoRNA"	"chr11"	122928196	122933043	"ENST00000453788.6_3"	"HSPA8"	"-"	"protein_coding"	85	"same"	"12376_ID"
"12377"	"chr11"	75111434	75111582	"ENST00000384214.1"	"SNORD15A"	"+"	"snoRNA"	"chr11"	75110574	75133324	"ENST00000527446.5_1"	"RPS3"	"+"	"protein_coding"	148	"same"	"12377_ID"
"12378"	"chr11"	75115464	75115610	"ENST00000384714.1"	"SNORD15B"	"+"	"snoRNA"	"chr11"	75110574	75133324	"ENST00000527446.5_1"	"RPS3"	"+"	"protein_coding"	146	"same"	"12378_ID"
"12379"	"chr15"	66795149	66795248	"ENST00000362803.1"	"SNORD16"	"-"	"snoRNA"	"chr15"	66791660	66816870	"ENST00000568588.5_3"	"RPL4"	"-"	"protein_coding"	99	"same"	"12379_ID"
"12380"	"chr20"	17943352	17943589	"ENST00000390930.1"	"SNORD17"	"-"	"snoRNA"	"chr20"	17922240	17949623	"ENST00000377768.7_3"	"SNX5"	"-"	"protein_coding"	237	"same"	"12380_ID"
"12381"	"chr20"	17943352	17943589	"ENST00000390930.1"	"SNORD17"	"-"	"snoRNA"	"chr20"	17937622	18039832	"ENST00000486776.5_3"	"OVOL2"	"-"	"processed_transcript"	237	"same"	"12381_ID"
"12382"	"chr15"	66795580	66795652	"ENST00000363753.1"	"SNORD18A"	"-"	"snoRNA"	"chr15"	66791660	66816870	"ENST00000568588.5_3"	"RPL4"	"-"	"protein_coding"	72	"same"	"12382_ID"
"12383"	"chr15"	66794357	66794429	"ENST00000365659.1"	"SNORD18B"	"-"	"snoRNA"	"chr15"	66791660	66816870	"ENST00000568588.5_3"	"RPL4"	"-"	"protein_coding"	72	"same"	"12383_ID"
"12384"	"chr15"	66793587	66793656	"ENST00000362704.1"	"SNORD18C"	"-"	"snoRNA"	"chr15"	66791660	66816870	"ENST00000568588.5_3"	"RPL4"	"-"	"protein_coding"	69	"same"	"12384_ID"
"12385"	"chr3"	52725393	52725469	"ENST00000410413.1"	"SNORD19"	"+"	"snoRNA"	"chr3"	52720031	52728508	"ENST00000394799.6_1"	"GNL3"	"+"	"protein_coding"	2206	"same"	"12385_ID"
"12386"	"chr3"	52724759	52724843	"ENST00000459623.1"	"SNORD19B"	"+"	"snoRNA"	"chr3"	52720031	52728508	"ENST00000394799.6_1"	"GNL3"	"+"	"protein_coding"	1946	"same"	"12386_ID"
"12387"	"chr17"	74557190	74557274	"ENST00000363091.1"	"SNORD1B"	"+"	"snoRNA"	"chr17"	74553845	74561430	"ENST00000493536.6_4"	"SNHG16"	"+"	"lncRNA"	84	"same"	"12387_ID"
"12388"	"chr2"	232321154	232321234	"ENST00000384550.1"	"SNORD20"	"-"	"snoRNA"	"chr2"	232319618	232348352	"ENST00000461347.5_3"	"NCL"	"-"	"retained_intron"	80	"same"	"12388_ID"
"12389"	"chr1"	93302845	93302940	"ENST00000383953.1"	"SNORD21"	"+"	"snoRNA"	"chr1"	93297596	93307481	"ENST00000370321.8_3"	"RPL5"	"+"	"protein_coding"	95	"same"	"12389_ID"
"12390"	"chr1"	93302845	93302940	"ENST00000383953.1"	"SNORD21"	"+"	"snoRNA"	"chr1"	93298293	93427079	"ENST00000615519.4_3"	"DIPK1A"	"-"	"protein_coding"	95	"opposite"	"12390_ID"
"12391"	"chr13"	94021099	94021213	"ENST00000516556.1"	"SNORD22"	"-"	"snoRNA"	"chr13"	93879059	95060274	"ENST00000377047.9_2"	"GPC6"	"+"	"protein_coding"	114	"opposite"	"12391_ID"
"12392"	"chr9"	136216250	136216325	"ENST00000383884.1"	"SNORD24"	"+"	"snoRNA"	"chr9"	136215072	136218281	"ENST00000323345.11_2"	"RPL7A"	"+"	"protein_coding"	75	"same"	"12392_ID"
"12393"	"chr5"	24811589	24811657	"ENST00000411072.1"	"SNORD29"	"+"	"snoRNA"	"chr5"	24772252	24851080	"ENST00000651142.1_3"	"AC106821.2"	"-"	"lncRNA"	68	"opposite"	"12393_ID"
"12394"	"chrX"	113260260	113260330	"ENST00000391309.1"	"SNORD30"	"+"	"snoRNA"	"chrX"	112859586	113302310	"ENST00000468762.3_4"	"XACT"	"-"	"lncRNA"	70	"opposite"	"12394_ID"
"12395"	"chr13"	107973242	107973311	"ENST00000364977.1"	"SNORD31"	"-"	"snoRNA"	"chr13"	107815857	108519844	"ENST00000375915.4_4"	"FAM155A"	"-"	"protein_coding"	69	"same"	"12395_ID"
"12396"	"chr19"	49993221	49993305	"ENST00000364805.1"	"SNORD32A"	"+"	"snoRNA"	"chr19"	49990864	49996314	"ENST00000678510.1_1"	"RPL13A"	"+"	"protein_coding"	84	"same"	"12396_ID"
"12397"	"chr6"	29550025	29550109	"ENST00000364460.1"	"SNORD32B"	"+"	"snoRNA"	"chr6"	29523405	29595815	"ENST00000355973.7_3"	"GABBR1"	"-"	"protein_coding"	84	"opposite"	"12397_ID"
"12398"	"chr19"	49994160	49994231	"ENST00000365633.1"	"SNORD34"	"+"	"snoRNA"	"chr19"	49990864	49996314	"ENST00000678510.1_1"	"RPL13A"	"+"	"protein_coding"	71	"same"	"12398_ID"
"12399"	"chr19"	49994431	49994517	"ENST00000363389.1"	"SNORD35A"	"+"	"snoRNA"	"chr19"	49990864	49996314	"ENST00000678510.1_1"	"RPL13A"	"+"	"protein_coding"	86	"same"	"12399_ID"
"12400"	"chr19"	50000976	50001063	"ENST00000363660.1"	"SNORD35B"	"+"	"snoRNA"	"chr19"	49999621	50002946	"ENST00000600027.5_1"	"RPS11"	"+"	"retained_intron"	87	"same"	"12400_ID"
"12401"	"chr9"	136217310	136217383	"ENST00000362874.1"	"SNORD36A"	"+"	"snoRNA"	"chr9"	136215072	136218281	"ENST00000323345.11_2"	"RPL7A"	"+"	"protein_coding"	73	"same"	"12401_ID"
"12402"	"chr9"	136216949	136217023	"ENST00000363961.1"	"SNORD36B"	"+"	"snoRNA"	"chr9"	136215072	136218281	"ENST00000323345.11_2"	"RPL7A"	"+"	"protein_coding"	74	"same"	"12402_ID"
"12403"	"chr9"	136217701	136217767	"ENST00000516733.1"	"SNORD36C"	"+"	"snoRNA"	"chr9"	136215072	136218281	"ENST00000323345.11_2"	"RPL7A"	"+"	"protein_coding"	66	"same"	"12403_ID"
"12404"	"chr1"	45243514	45243584	"ENST00000365161.1"	"SNORD38A"	"+"	"snoRNA"	"chr1"	45241211	45244451	"ENST00000396651.8_2"	"RPS8"	"+"	"protein_coding"	70	"same"	"12404_ID"
"12405"	"chr1"	45244061	45244128	"ENST00000384690.1"	"SNORD38B"	"+"	"snoRNA"	"chr1"	45241211	45244451	"ENST00000396651.8_2"	"RPS8"	"+"	"protein_coding"	67	"same"	"12405_ID"
"12406"	"chr17"	27050446	27050510	"ENST00000459584.1"	"SNORD42A"	"+"	"snoRNA"	"chr17"	27047002	27051377	"ENST00000422514.7_2"	"RPL23A"	"+"	"protein_coding"	64	"same"	"12406_ID"
"12407"	"chr17"	27047567	27047634	"ENST00000458893.1"	"SNORD42B"	"+"	"snoRNA"	"chr17"	27047002	27051377	"ENST00000422514.7_2"	"RPL23A"	"+"	"protein_coding"	67	"same"	"12407_ID"
"12408"	"chr1"	76253573	76253657	"ENST00000384512.1"	"SNORD45A"	"+"	"snoRNA"	"chr1"	76251940	76260771	"ENST00000319942.8_2"	"RABGGTB"	"+"	"protein_coding"	84	"same"	"12408_ID"
"12409"	"chr1"	76255161	76255233	"ENST00000364617.1"	"SNORD45B"	"+"	"snoRNA"	"chr1"	76251940	76260771	"ENST00000319942.8_2"	"RABGGTB"	"+"	"protein_coding"	72	"same"	"12409_ID"
"12410"	"chr1"	76252756	76252835	"ENST00000383893.1"	"SNORD45C"	"+"	"snoRNA"	"chr1"	76215181	76253260	"ENST00000528016.1_4"	"ACADM"	"+"	"nonsense_mediated_decay"	79	"same"	"12410_ID"
"12411"	"chr1"	76252756	76252835	"ENST00000383893.1"	"SNORD45C"	"+"	"snoRNA"	"chr1"	76251940	76260771	"ENST00000319942.8_2"	"RABGGTB"	"+"	"protein_coding"	79	"same"	"12411_ID"
"12412"	"chr6"	31803039	31803103	"ENST00000364953.1"	"SNORD48"	"+"	"snoRNA"	"chr6"	31796610	31807496	"ENST00000649802.1_1"	"AL671762.1"	"+"	"lncRNA"	64	"same"	"12412_ID"
"12413"	"chr6"	31803039	31803103	"ENST00000364953.1"	"SNORD48"	"+"	"snoRNA"	"chr6"	31802384	31807538	"ENST00000375640.7_4"	"SNHG32"	"+"	"lncRNA"	64	"same"	"12413_ID"
"12414"	"chr17"	27049599	27049671	"ENST00000459174.1"	"SNORD4A"	"+"	"snoRNA"	"chr17"	27048504	27049895	"ENST00000582718.1_3"	"AC010761.1"	"-"	"lncRNA"	72	"opposite"	"12414_ID"
"12415"	"chr17"	27049599	27049671	"ENST00000459174.1"	"SNORD4A"	"+"	"snoRNA"	"chr17"	27047002	27051377	"ENST00000422514.7_2"	"RPL23A"	"+"	"protein_coding"	72	"same"	"12415_ID"
"12416"	"chr17"	27050699	27050771	"ENST00000459083.1"	"SNORD4B"	"+"	"snoRNA"	"chr17"	27047002	27051377	"ENST00000422514.7_2"	"RPL23A"	"+"	"protein_coding"	72	"same"	"12416_ID"
"12417"	"chr6"	31804852	31804919	"ENST00000364884.1"	"SNORD52"	"+"	"snoRNA"	"chr6"	31796610	31807496	"ENST00000649802.1_1"	"AL671762.1"	"+"	"lncRNA"	67	"same"	"12417_ID"
"12418"	"chr6"	31804852	31804919	"ENST00000364884.1"	"SNORD52"	"+"	"snoRNA"	"chr6"	31802384	31807538	"ENST00000375640.7_4"	"SNHG32"	"+"	"lncRNA"	67	"same"	"12418_ID"
"12419"	"chr2"	29149932	29150010	"ENST00000579969.1"	"SNORD53"	"+"	"snoRNA"	"chr2"	29117532	29171085	"ENST00000407426.8_2"	"WDR43"	"+"	"protein_coding"	78	"same"	"12419_ID"
"12420"	"chr2"	29150848	29150926	"ENST00000577887.1"	"SNORD53_SNORD92"	"+"	"snoRNA"	"chr2"	29117532	29171085	"ENST00000407426.8_2"	"WDR43"	"+"	"protein_coding"	78	"same"	"12420_ID"
"12421"	"chr8"	56986393	56986460	"ENST00000459159.1"	"SNORD54"	"-"	"snoRNA"	"chr8"	56979827	56987067	"ENST00000676461.1_1"	"RPS20"	"-"	"nonsense_mediated_decay"	67	"same"	"12421_ID"
"12422"	"chr1"	45241535	45241615	"ENST00000581525.1"	"SNORD55"	"+"	"snoRNA"	"chr1"	45241211	45244451	"ENST00000396651.8_2"	"RPS8"	"+"	"protein_coding"	80	"same"	"12422_ID"
"12423"	"chr14"	71865053	71865124	"ENST00000384713.1"	"SNORD56B"	"+"	"snoRNA"	"chr14"	71787165	72054482	"ENST00000555989.5_1"	"SIPA1L1"	"+"	"processed_transcript"	71	"same"	"12423_ID"
"12424"	"chr14"	45557445	45557511	"ENST00000391313.1"	"SNORD58"	"+"	"snoRNA"	"chr14"	45553318	45585485	"ENST00000355765.11_2"	"PRPF39"	"+"	"protein_coding"	66	"same"	"12424_ID"
"12425"	"chr18"	47017652	47017717	"ENST00000383875.1"	"SNORD58A"	"-"	"snoRNA"	"chr18"	47013708	47018248	"ENST00000581232.1_1"	"AC100778.3"	"+"	"lncRNA"	65	"opposite"	"12425_ID"
"12426"	"chr18"	47017652	47017717	"ENST00000383875.1"	"SNORD58A"	"-"	"snoRNA"	"chr18"	47014853	47018893	"ENST00000580261.5_4"	"RPL17"	"-"	"protein_coding"	65	"same"	"12426_ID"
"12427"	"chr18"	47017652	47017717	"ENST00000383875.1"	"SNORD58A"	"-"	"snoRNA"	"chr18"	47008521	47018849	"ENST00000332968.11_5"	"RPL17-C18orf32"	"-"	"protein_coding"	65	"same"	"12427_ID"
"12428"	"chr18"	47018033	47018099	"ENST00000607313.1"	"SNORD58B"	"-"	"snoRNA"	"chr18"	47013708	47018248	"ENST00000581232.1_1"	"AC100778.3"	"+"	"lncRNA"	66	"opposite"	"12428_ID"
"12429"	"chr18"	47018033	47018099	"ENST00000607313.1"	"SNORD58B"	"-"	"snoRNA"	"chr18"	47014853	47018893	"ENST00000580261.5_4"	"RPL17"	"-"	"protein_coding"	66	"same"	"12429_ID"
"12430"	"chr18"	47018033	47018099	"ENST00000607313.1"	"SNORD58B"	"-"	"snoRNA"	"chr18"	47008521	47018849	"ENST00000332968.11_5"	"RPL17-C18orf32"	"-"	"protein_coding"	66	"same"	"12430_ID"
"12431"	"chr18"	47015614	47015678	"ENST00000365223.1"	"SNORD58C"	"-"	"snoRNA"	"chr18"	47008521	47018849	"ENST00000332968.11_5"	"RPL17-C18orf32"	"-"	"protein_coding"	64	"same"	"12431_ID"
"12432"	"chr18"	47015614	47015678	"ENST00000365223.1"	"SNORD58C"	"-"	"snoRNA"	"chr18"	47014853	47018893	"ENST00000580261.5_4"	"RPL17"	"-"	"protein_coding"	64	"same"	"12432_ID"
"12433"	"chr18"	47015614	47015678	"ENST00000365223.1"	"SNORD58C"	"-"	"snoRNA"	"chr18"	47013708	47018248	"ENST00000581232.1_1"	"AC100778.3"	"+"	"lncRNA"	64	"opposite"	"12433_ID"
"12434"	"chr12"	57038810	57038885	"ENST00000384304.1"	"SNORD59A"	"-"	"snoRNA"	"chr12"	57031958	57039768	"ENST00000262030.8_5"	"ATP5F1B"	"-"	"protein_coding"	75	"same"	"12434_ID"
"12435"	"chr11"	93464667	93464740	"ENST00000365444.1"	"SNORD6"	"-"	"snoRNA"	"chr11"	93463113	93474660	"ENST00000323981.6_3"	"TAF1D"	"-"	"nonsense_mediated_decay"	73	"same"	"12435_ID"
"12436"	"chr9"	139988796	139988882	"ENST00000362541.1"	"SNORD62"	"+"	"snoRNA"	"chr9"	139981436	140003635	"ENST00000371589.9_2"	"MAN1B1"	"+"	"protein_coding"	86	"same"	"12436_ID"
"12437"	"chr11"	46783938	46784049	"ENST00000390833.1"	"SNORD67"	"-"	"snoRNA"	"chr11"	46764597	46867831	"ENST00000529230.6_4"	"CKAP5"	"-"	"protein_coding"	3734	"same"	"12437_ID"
"12438"	"chr16"	89627841	89627925	"ENST00000363214.1"	"SNORD68"	"+"	"snoRNA"	"chr16"	89627089	89630950	"ENST00000311528.10_2"	"RPL13"	"+"	"protein_coding"	84	"same"	"12438_ID"
"12439"	"chr3"	52726751	52726828	"ENST00000391150.1"	"SNORD69"	"+"	"snoRNA"	"chr3"	52720031	52728508	"ENST00000394799.6_1"	"GNL3"	"+"	"protein_coding"	77	"same"	"12439_ID"
"12440"	"chr17"	33900675	33900772	"ENST00000384567.1"	"SNORD7"	"+"	"snoRNA"	"chr17"	33895134	33901919	"ENST00000659685.1_3"	"SNHG30"	"+"	"lncRNA"	97	"same"	"12440_ID"
"12441"	"chr2"	203141153	203141241	"ENST00000391232.1"	"SNORD70"	"+"	"snoRNA"	"chr2"	203130485	203168384	"ENST00000264279.10_2"	"NOP58"	"+"	"protein_coding"	1762	"same"	"12441_ID"
"12442"	"chr16"	71792304	71792390	"ENST00000411292.1"	"SNORD71"	"-"	"snoRNA"	"chr16"	71762902	71842737	"ENST00000299980.9_5"	"AP1G1"	"-"	"protein_coding"	86	"same"	"12442_ID"
"12443"	"chr5"	40832757	40832837	"ENST00000390994.1"	"SNORD72"	"-"	"snoRNA"	"chr5"	40825363	40835324	"ENST00000274242.10_7"	"RPL37"	"-"	"protein_coding"	80	"same"	"12443_ID"
"12444"	"chr4"	152023208	152023280	"ENST00000364394.1"	"SNORD73"	"+"	"snoRNA"	"chr4"	152020779	152025794	"ENST00000274065.9_2"	"RPS3A"	"+"	"protein_coding"	72	"same"	"12444_ID"
"12445"	"chr4"	152024978	152025043	"ENST00000386062.1"	"SNORD73A"	"+"	"snoRNA"	"chr4"	152020779	152025794	"ENST00000274065.9_2"	"RPS3A"	"+"	"protein_coding"	65	"same"	"12445_ID"
"12446"	"chr4"	152024978	152025043	"ENST00000386062.1"	"SNORD73A"	"+"	"snoRNA"	"chr4"	152023902	152041963	"ENST00000604922.1_3"	"SH3D19"	"-"	"processed_transcript"	65	"opposite"	"12446_ID"
"12447"	"chr4"	185353119	185353203	"ENST00000516069.1"	"SNORD79"	"+"	"snoRNA"	"chr4"	185308882	185395704	"ENST00000393593.8_4"	"IRF2"	"-"	"protein_coding"	84	"opposite"	"12447_ID"
"12448"	"chr14"	21865450	21865560	"ENST00000363915.1"	"SNORD8"	"-"	"snoRNA"	"chr14"	21853357	21924282	"ENST00000646647.2_4"	"CHD8"	"-"	"protein_coding"	110	"same"	"12448_ID"
"12449"	"chr2"	232325081	232325151	"ENST00000365530.1"	"SNORD82"	"-"	"snoRNA"	"chr2"	232319618	232348352	"ENST00000461347.5_3"	"NCL"	"-"	"retained_intron"	70	"same"	"12449_ID"
"12450"	"chr12"	64969444	64969521	"ENST00000411362.1"	"SNORD83"	"+"	"snoRNA"	"chr12"	64900780	65088692	"ENST00000637125.1_1"	"RASSF3"	"+"	"protein_coding"	77	"same"	"12450_ID"
"12451"	"chr22"	39711217	39711312	"ENST00000386747.1"	"SNORD83A"	"-"	"snoRNA"	"chr22"	39708888	39716394	"ENST00000465618.5_3"	"RPL3"	"-"	"processed_transcript"	95	"same"	"12451_ID"
"12452"	"chr22"	39709823	39709916	"ENST00000386745.1"	"SNORD83B"	"-"	"snoRNA"	"chr22"	39708888	39716394	"ENST00000465618.5_3"	"RPL3"	"-"	"processed_transcript"	93	"same"	"12452_ID"
"12453"	"chr6"	31508877	31508955	"ENST00000584275.1"	"SNORD84"	"-"	"snoRNA"	"chr6"	31497995	31510225	"ENST00000458640.5_3"	"DDX39B"	"-"	"protein_coding"	78	"same"	"12453_ID"
