"ENST_Nested"	"ENST_Host"	"geneChr_Nested"	"geneStart_Nested"	"geneEnd_Nested"	"SYMBOL_Nested"	"Strand_Nested"	"biotype_Nested"	"geneChr_Host"	"geneStart_Host"	"geneEnd_Host"	"SYMBOL_Host"	"Strand_Host"	"biotype_Host"	"Overlap_size"	"Strandness"	"pairid"	"Host_mouse_ortholog"	"Nested_mouse_ortholog"
"7308"	"ENST00000515894.1"	"ENST00000381227.5"	"chr4"	57868857	57868958	"RNU6-998P"	"+"	"snRNA"	"chr4"	57843907	57897324	"POLR2B"	"+"	"protein_coding"	101	"same"	"11659_ID"	"Polr2b"	"Gm26446"
"7309"	"ENST00000515894.1"	"ENST00000381227.5"	"chr4"	57868857	57868958	"RNU6-998P"	"+"	"snRNA"	"chr4"	57843907	57897324	"POLR2B"	"+"	"protein_coding"	101	"same"	"11659_ID"	"Polr2b"	"Gm23196"
"7310"	"ENST00000515894.1"	"ENST00000381227.5"	"chr4"	57868857	57868958	"RNU6-998P"	"+"	"snRNA"	"chr4"	57843907	57897324	"POLR2B"	"+"	"protein_coding"	101	"same"	"11659_ID"	"Polr2b"	"Gm26099"
"7348"	"ENST00000515985.1"	"ENST00000205061.9"	"chr16"	74490438	74490509	"RNU6-237P"	"+"	"snRNA"	"chr16"	74481324	74641012	"GLG1"	"-"	"protein_coding"	71	"opposite"	"11092_ID"	"Glg1"	"U6"
"7353"	"ENST00000516005.1"	"ENST00000368507.8"	"chr6"	117620526	117620801	"RN7SKP18"	"+"	"misc_RNA"	"chr6"	117608515	117747105	"ROS1"	"-"	"protein_coding"	275	"opposite"	"9807_ID"	"Ros1"	"7SK"
"7356"	"ENST00000516012.1"	"ENST00000270861.10"	"chr4"	128813145	128813237	"RNU6-583P"	"+"	"snRNA"	"chr4"	128802047	128820379	"PLK4"	"+"	"protein_coding"	92	"same"	"11354_ID"	"Plk4"	"Gm24491"
"7373"	"ENST00000516069.1"	"ENST00000393593.8"	"chr4"	185353119	185353203	"SNORD79"	"+"	"snoRNA"	"chr4"	185308882	185395704	"IRF2"	"-"	"protein_coding"	84	"opposite"	"12447_ID"	"Irf2"	"Gm50452"
"7391"	"ENST00000516113.1"	"ENST00000379959.8"	"chr10"	6059016	6059157	"SNORA14"	"-"	"snoRNA"	"chr10"	6052651	6104330	"IL2RA"	"-"	"protein_coding"	141	"same"	"12158_ID"	"Il2ra"	"Gm26397"
"7396"	"ENST00000516130.1"	"ENST00000282058.11"	"chr18"	43701580	43701687	"RNU6-1278P"	"-"	"snRNA"	"chr18"	43684350	43708299	"HAUS1"	"+"	"protein_coding"	107	"opposite"	"10970_ID"	"Haus1"	"Gm22766"
"7410"	"ENST00000516163.1"	"ENST00000359726.7"	"chr21"	27315358	27315460	"RNU6-123P"	"-"	"snRNA"	"chr21"	27252861	27543446	"APP"	"-"	"protein_coding"	102	"same"	"10938_ID"	"App"	"Gm24374"
"7435"	"ENST00000516227.1"	"ENST00000369519.4"	"chr10"	112516213	112516481	"RN7SKP288"	"+"	"misc_RNA"	"chr10"	112404093	112599226	"RBM20"	"+"	"protein_coding"	268	"same"	"9880_ID"	"Rbm20"	"7SK"
"7448"	"ENST00000516272.1"	"ENST00000393127.6"	"chr11"	105845552	105845658	"RNU6-277P"	"-"	"snRNA"	"chr11"	105480799	105852819	"GRIA4"	"+"	"protein_coding"	106	"opposite"	"11121_ID"	"Gria4"	"U6"
"7449"	"ENST00000516273.1"	"ENST00000475381.7"	"chr3"	172420913	172421015	"RNU6-547P"	"+"	"snRNA"	"chr3"	172348038	172428857	"NCEH1"	"-"	"protein_coding"	102	"opposite"	"11328_ID"	"Nceh1"	"Gm23412"
"7450"	"ENST00000516273.1"	"ENST00000475381.7"	"chr3"	172420913	172421015	"RNU6-547P"	"+"	"snRNA"	"chr3"	172348038	172428857	"NCEH1"	"-"	"protein_coding"	102	"opposite"	"11328_ID"	"Nceh1"	"Gm24538"
"7451"	"ENST00000516275.1"	"ENST00000536534.7"	"chr1"	242351948	242352091	"RN7SKP12"	"-"	"misc_RNA"	"chr1"	242246287	242687999	"PLD5"	"-"	"protein_coding"	143	"same"	"9774_ID"	"Pld5"	"7SK"
"7470"	"ENST00000516336.1"	"ENST00000355520.6"	"chrX"	67321909	67321974	"RNU6-1225P"	"-"	"snRNA"	"chrX"	67262185	67653337	"OPHN1"	"-"	"protein_coding"	65	"same"	"10925_ID"	"Ophn1"	"U6"
"7473"	"ENST00000516342.1"	"ENST00000636203.1"	"chr1"	14450727	14450830	"RNU6-1265P"	"-"	"snRNA"	"chr1"	14219286	15444539	"KAZN"	"+"	"protein_coding"	103	"opposite"	"10958_ID"	"Kazn"	"U6"
"7494"	"ENST00000516403.1"	"ENST00000330137.12"	"chr17"	57206636	57206819	"RNU2-58P"	"-"	"snRNA"	"chr17"	57187217	57232547	"SKA2"	"-"	"protein_coding"	183	"same"	"10646_ID"	"Ska2"	"Gm22958"
"7495"	"ENST00000516403.1"	"ENST00000330137.12"	"chr17"	57206636	57206819	"RNU2-58P"	"-"	"snRNA"	"chr17"	57187217	57232547	"SKA2"	"-"	"protein_coding"	183	"same"	"10646_ID"	"Ska2"	"Gm24037"
"7519"	"ENST00000516473.1"	"ENST00000366522.6"	"chr1"	245186316	245186420	"RNU6-1089P"	"+"	"snRNA"	"chr1"	245133283	245290466	"EFCAB2"	"+"	"protein_coding"	104	"same"	"10823_ID"	"Efcab2"	"Gm25253"
"7522"	"ENST00000516483.1"	"ENST00000327946.12"	"chr10"	87409768	87410017	"RN7SKP238"	"-"	"misc_RNA"	"chr10"	87359308	88126552	"GRID1"	"-"	"protein_coding"	249	"same"	"9845_ID"	"Grid1"	"7SK"
"7536"	"ENST00000516524.1"	"ENST00000373652.7"	"chr2"	230802529	230802598	"RNU6-964P"	"-"	"snRNA"	"chr2"	230787017	230877825	"FBXO36"	"+"	"protein_coding"	69	"opposite"	"11640_ID"	"Fbxo36"	"Gm26226"
"7540"	"ENST00000516534.1"	"ENST00000511685.6"	"chr4"	183469811	183469932	"RNU2-34P"	"+"	"snRNA"	"chr4"	183164554	183724177	"TENM3"	"+"	"protein_coding"	121	"same"	"10631_ID"	"Tenm3"	"Gm23022"
"7541"	"ENST00000516538.1"	"ENST00000399910.5"	"chr14"	23728668	23728775	"RNU6-1046P"	"-"	"snRNA"	"chr14"	23654524	23742614	"RNF212B"	"+"	"protein_coding"	107	"opposite"	"10791_ID"	"Rnf212b"	"Gm25867"
"7545"	"ENST00000516552.1"	"ENST00000294179.8"	"chr11"	62583437	62583539	"RNU6-118P"	"-"	"snRNA"	"chr11"	62574331	62599523	"STX5"	"-"	"protein_coding"	102	"same"	"10892_ID"	"Stx5a"	"Gm25253"
"7549"	"ENST00000516564.1"	"ENST00000438447.2"	"chr5"	31820670	31820745	"RNU6-358P"	"-"	"snRNA"	"chr5"	31639237	32111038	"PDZD2"	"+"	"protein_coding"	75	"opposite"	"11179_ID"	"Pdzd2"	"Gm23116"
"7551"	"ENST00000516568.1"	"ENST00000375772.7"	"chrX"	51613801	51613905	"RNU6-504P"	"-"	"snRNA"	"chrX"	51546102	51645450	"MAGED1"	"+"	"protein_coding"	104	"opposite"	"11289_ID"	"Maged1"	"Gm25160"
"7554"	"ENST00000516574.1"	"ENST00000268712.8"	"chr17"	16002017	16002121	"RNU6-314P"	"+"	"snRNA"	"chr17"	15932470	16118848	"NCOR1"	"-"	"protein_coding"	104	"opposite"	"11149_ID"	"Ncor1"	"Gm23205"
"7557"	"ENST00000516582.1"	"ENST00000589296.5"	"chr17"	76692775	76692879	"RNU6-638P"	"-"	"snRNA"	"chr17"	76670129	76778379	"CYTH1"	"-"	"protein_coding"	104	"same"	"11397_ID"	"Cyth1"	"U6"
"7559"	"ENST00000516587.1"	"ENST00000366574.7"	"chr1"	237284106	237284409	"RN7SKP195"	"+"	"misc_RNA"	"chr1"	237205483	237997288	"RYR2"	"+"	"protein_coding"	303	"same"	"9814_ID"	"Ryr2"	"7SK"
"7560"	"ENST00000516587.1"	"ENST00000366574.7"	"chr1"	237284106	237284409	"RN7SKP195"	"+"	"misc_RNA"	"chr1"	237205483	237997288	"RYR2"	"+"	"protein_coding"	303	"same"	"9814_ID"	"Ryr2"	"7SK"
"7569"	"ENST00000516605.1"	"ENST00000238856.8"	"chr2"	64806025	64806131	"RNU6-100P"	"+"	"snRNA"	"chr2"	64751438	64820139	"AFTPH"	"+"	"protein_coding"	106	"same"	"10763_ID"	"Aftph"	"U6"
"7570"	"ENST00000516607.1"	"ENST00000374518.6"	"chr10"	43327894	43327998	"RNU6-885P"	"-"	"snRNA"	"chr10"	43278242	43330385	"BMS1"	"+"	"protein_coding"	104	"opposite"	"11584_ID"	"Bms1"	"U6"
"7579"	"ENST00000516643.1"	"ENST00000373563.9"	"chr2"	233647374	233647476	"RNU6-107P"	"+"	"snRNA"	"chr2"	233562040	233725315	"GIGYF2"	"+"	"protein_coding"	102	"same"	"10815_ID"	"Gigyf2"	"Gm22351"
"7581"	"ENST00000516655.1"	"ENST00000520878.5"	"chr5"	178046728	178046999	"RN7SKP70"	"-"	"misc_RNA"	"chr5"	178029664	178054089	"CLK4"	"-"	"retained_intron"	271	"same"	"9914_ID"	"Clk4"	"7SK"
"7584"	"ENST00000516665.1"	"ENST00000298310.10"	"chr14"	50306442	50306545	"RNU6-539P"	"+"	"snRNA"	"chr14"	50248800	50319506	"NEMF"	"-"	"protein_coding"	103	"opposite"	"11321_ID"	"Nemf"	"Gm22543"
"7595"	"ENST00000516694.1"	"ENST00000515489.1"	"chr4"	139976628	139976732	"RNU6-531P"	"+"	"snRNA"	"chr4"	139949265	139981749	"ELF2"	"-"	"processed_transcript"	104	"opposite"	"11315_ID"	"Elf2"	"Gm23025"
"7605"	"ENST00000516724.1"	"ENST00000509400.5"	"chr5"	138557446	138557526	"RNU6-572P"	"+"	"snRNA"	"chr5"	138456723	138629223	"SIL1"	"-"	"processed_transcript"	80	"opposite"	"11346_ID"	"Sil1"	"Gm23093"
"7606"	"ENST00000516724.1"	"ENST00000509400.5"	"chr5"	138557446	138557526	"RNU6-572P"	"+"	"snRNA"	"chr5"	138456723	138629223	"SIL1"	"-"	"processed_transcript"	80	"opposite"	"11346_ID"	"Sil1"	"Gm22540"
"7611"	"ENST00000516740.1"	"ENST00000397443.7"	"chr20"	34235249	34235352	"RNU6-759P"	"-"	"snRNA"	"chr20"	34213965	34252822	"CPNE1"	"-"	"protein_coding"	103	"same"	"11479_ID"	"Cpne1"	"Gm25253"
"7613"	"ENST00000516745.1"	"ENST00000421865.3"	"chr6"	129758019	129758125	"RNU6-861P"	"-"	"snRNA"	"chr6"	129204282	129837711	"LAMA2"	"+"	"protein_coding"	106	"opposite"	"11566_ID"	"Lama2"	"Gm23124"
"7615"	"ENST00000516749.1"	"ENST00000341166.3"	"chr8"	99204432	99204541	"RNU6-914P"	"-"	"snRNA"	"chr8"	99202060	99306621	"NIPAL2"	"-"	"protein_coding"	109	"same"	"11608_ID"	"Nipal2"	"Gm24400"
"7620"	"ENST00000516760.1"	"ENST00000262133.11"	"chr16"	53477139	53477244	"RNU6-1153P"	"-"	"snRNA"	"chr16"	53468382	53525560	"RBL2"	"+"	"protein_coding"	105	"opposite"	"10859_ID"	"Rbl2"	"Gm26226"
"7635"	"ENST00000516802.1"	"ENST00000298746.5"	"chr10"	116729218	116729327	"RNU6-1121P"	"-"	"snRNA"	"chr10"	116697953	116737435	"TRUB1"	"+"	"protein_coding"	109	"opposite"	"10840_ID"	"Trub1"	"U6"
"7639"	"ENST00000516813.1"	"ENST00000359428.10"	"chr9"	134002376	134002478	"RNU6-881P"	"+"	"snRNA"	"chr9"	134000972	134110050	"NUP214"	"+"	"protein_coding"	102	"same"	"11580_ID"	"Nup214"	"Gm26091"
"7641"	"ENST00000516818.1"	"ENST00000434753.7"	"chrX"	123008308	123008415	"RNU6-122P"	"+"	"snRNA"	"chrX"	122993661	123047826	"XIAP"	"+"	"protein_coding"	107	"same"	"10928_ID"	"Xiap"	"Gm23535"
"7642"	"ENST00000516818.1"	"ENST00000434753.7"	"chrX"	123008308	123008415	"RNU6-122P"	"+"	"snRNA"	"chrX"	122993661	123047826	"XIAP"	"+"	"protein_coding"	107	"same"	"10928_ID"	"Xiap"	"U6"
"7643"	"ENST00000516818.1"	"ENST00000434753.7"	"chrX"	123008308	123008415	"RNU6-122P"	"+"	"snRNA"	"chrX"	122993661	123047826	"XIAP"	"+"	"protein_coding"	107	"same"	"10928_ID"	"Xiap"	"U6"
"7648"	"ENST00000516827.1"	"ENST00000290341.8"	"chr17"	47113713	47113817	"RNU6-826P"	"+"	"snRNA"	"chr17"	47074746	47133507	"IGF2BP1"	"+"	"protein_coding"	104	"same"	"11533_ID"	"Igf2bp1"	"Gm23817"
"7660"	"ENST00000516877.1"	"ENST00000549503.1"	"chr14"	30281121	30281224	"RNU6-1234P"	"+"	"snRNA"	"chr14"	30133017	30661104	"PRKD1"	"-"	"protein_coding"	103	"opposite"	"10931_ID"	"Prkd1"	"Gm23124"
"7661"	"ENST00000516879.1"	"ENST00000409261.6"	"chr2"	134091400	134091502	"RNU6-579P"	"+"	"snRNA"	"chr2"	133429360	134326034	"NCKAP5"	"-"	"protein_coding"	102	"opposite"	"11350_ID"	"Nckap5"	"U6"
"7665"	"ENST00000516890.1"	"ENST00000394333.5"	"chr17"	37007776	37007912	"SNORA21"	"-"	"snoRNA"	"chr17"	37004117	37009988	"RPL23"	"-"	"protein_coding"	1471	"same"	"12162_ID"	"Rpl23"	"SNORA21B"
"7670"	"ENST00000516903.1"	"ENST00000562124.5"	"chr15"	66639544	66639680	"SCARNA14"	"-"	"snoRNA"	"chr15"	66629318	66679062	"TIPIN"	"-"	"protein_coding"	136	"same"	"11993_ID"	"Tipin"	"Gm24289"
"7671"	"ENST00000516904.1"	"ENST00000339594.9"	"chr7"	72921537	72921604	"RNU6-1198P"	"+"	"snRNA"	"chr7"	72854735	72936623	"BAZ1B"	"-"	"protein_coding"	67	"opposite"	"10902_ID"	"Baz1b"	"Gm23111"
"7680"	"ENST00000516934.1"	"ENST00000493662.6"	"chr6"	31724727	31724830	"RNU6-850P"	"-"	"snRNA"	"chr6"	31707796	31732627	"MSH5-SAPCD1"	"+"	"nonsense_mediated_decay"	103	"opposite"	"11554_ID"	"Msh5"	"Gm25416"
"7681"	"ENST00000516934.1"	"ENST00000493662.6"	"chr6"	31724727	31724830	"RNU6-850P"	"-"	"snRNA"	"chr6"	31707796	31732627	"MSH5-SAPCD1"	"+"	"nonsense_mediated_decay"	103	"opposite"	"11554_ID"	"Msh5"	"U6"
"7682"	"ENST00000516934.1"	"ENST00000375755.8"	"chr6"	31724727	31724830	"RNU6-850P"	"-"	"snRNA"	"chr6"	31707724	31730453	"MSH5"	"+"	"protein_coding"	103	"opposite"	"11555_ID"	"Msh5"	"Gm25416"
"7683"	"ENST00000516934.1"	"ENST00000375755.8"	"chr6"	31724727	31724830	"RNU6-850P"	"-"	"snRNA"	"chr6"	31707724	31730453	"MSH5"	"+"	"protein_coding"	103	"opposite"	"11555_ID"	"Msh5"	"U6"
"7686"	"ENST00000516942.1"	"ENST00000360013.7"	"chr3"	124126537	124126630	"RNU6-143P"	"+"	"snRNA"	"chr3"	123813557	124440035	"KALRN"	"+"	"protein_coding"	93	"same"	"11030_ID"	"Kalrn"	"Gm24927"
"7690"	"ENST00000516948.1"	"ENST00000641051.1"	"chr4"	87257470	87257767	"RN7SKP96"	"-"	"misc_RNA"	"chr4"	86935026	87515778	"MAPK10"	"-"	"protein_coding"	297	"same"	"9938_ID"	"Mapk10"	"7SK"
"7696"	"ENST00000516959.1"	"ENST00000394830.7"	"chr3"	52585861	52585959	"RNU6-856P"	"-"	"snRNA"	"chr3"	52581856	52719852	"PBRM1"	"-"	"protein_coding"	98	"same"	"11563_ID"	"Pbrm1"	"Gm26402"
"7697"	"ENST00000516959.1"	"ENST00000476842.1"	"chr3"	52585861	52585959	"RNU6-856P"	"-"	"snRNA"	"chr3"	52570620	52613253	"SMIM4"	"+"	"protein_coding"	98	"opposite"	"11562_ID"	"Smim4"	"Gm26402"
"7702"	"ENST00000516970.1"	"ENST00000472748.5"	"chr2"	172713075	172713180	"RNU6-182P"	"-"	"snRNA"	"chr2"	172700878	172864762	"SLC25A12"	"-"	"processed_transcript"	105	"same"	"11056_ID"	"Slc25a12"	"U6"
"7703"	"ENST00000516973.1"	"ENST00000554218.1"	"chr14"	58759010	58759106	"RNU6-341P"	"-"	"snRNA"	"chr14"	58605818	58764857	"ARMH4"	"-"	"processed_transcript"	96	"same"	"11166_ID"	"Armh4"	"Gm26203"
"7709"	"ENST00000516986.1"	"ENST00000280481.9"	"chr13"	39353560	39353653	"RNU6-56P"	"+"	"snRNA"	"chr13"	39261213	39461268	"FREM2"	"+"	"protein_coding"	93	"same"	"11343_ID"	"Frem2"	"U6"
"7714"	"ENST00000517005.1"	"ENST00000655556.1"	"chr16"	76321526	76321636	"RN7SKP233"	"+"	"misc_RNA"	"chr16"	76311185	76707252	"AC106741.1"	"+"	"nonsense_mediated_decay"	110	"same"	"9839_ID"	"Cntnap4"	"7SK"
"7715"	"ENST00000517005.1"	"ENST00000611870.5"	"chr16"	76321526	76321636	"RN7SKP233"	"+"	"misc_RNA"	"chr16"	76311298	76594654	"CNTNAP4"	"+"	"protein_coding"	110	"same"	"9840_ID"	"Cntnap4"	"7SK"
"7726"	"ENST00000517031.1"	"ENST00000271636.12"	"chr1"	151500306	151500414	"SNORA44"	"-"	"snoRNA"	"chr1"	151483862	151511168	"CGN"	"+"	"protein_coding"	108	"opposite"	"12174_ID"	"Cgn"	"Gm22723"
"7727"	"ENST00000517031.1"	"ENST00000271636.12"	"chr1"	151500306	151500414	"SNORA44"	"-"	"snoRNA"	"chr1"	151483862	151511168	"CGN"	"+"	"protein_coding"	108	"opposite"	"12174_ID"	"Cgn"	"Gm22622"
"7731"	"ENST00000517045.1"	"ENST00000595396.2"	"chr13"	46824076	46824348	"RN7SKP5"	"+"	"misc_RNA"	"chr13"	46786077	46851501	"LRRC63"	"+"	"protein_coding"	272	"same"	"9900_ID"	"Lrrc63"	"7SK"
"7734"	"ENST00000517052.1"	"ENST00000296591.10"	"chr5"	83492700	83492807	"RNU6-448P"	"+"	"snRNA"	"chr5"	83236372	83680698	"EDIL3"	"-"	"protein_coding"	107	"opposite"	"11254_ID"	"Edil3"	"Gm23331"
"7743"	"ENST00000517070.1"	"ENST00000542077.5"	"chr1"	212272862	212273018	"RN7SKP98"	"-"	"misc_RNA"	"chr1"	212208894	212278348	"DTL"	"+"	"protein_coding"	156	"opposite"	"9940_ID"	"Dtl"	"7SK"
"7748"	"ENST00000517077.1"	"ENST00000426426.3"	"chr12"	120068894	120069191	"RN7SKP197"	"-"	"misc_RNA"	"chr12"	120031578	120080880	"TMEM233"	"+"	"protein_coding"	297	"opposite"	"9815_ID"	"Tmem233"	"7SK"
"7764"	"ENST00000517119.1"	"ENST00000380615.8"	"chr13"	30855901	30856006	"RNU6-64P"	"+"	"snRNA"	"chr13"	30776766	30881688	"KATNAL1"	"-"	"protein_coding"	105	"opposite"	"11407_ID"	"Katnal1"	"U6"
"7765"	"ENST00000517119.1"	"ENST00000380615.8"	"chr13"	30855901	30856006	"RNU6-64P"	"+"	"snRNA"	"chr13"	30776766	30881688	"KATNAL1"	"-"	"protein_coding"	105	"opposite"	"11407_ID"	"Gm42791"	"U6"
"7772"	"ENST00000517135.1"	"ENST00000262903.9"	"chr6"	105214696	105214801	"RNU6-897P"	"+"	"snRNA"	"chr6"	105175968	105307794	"HACE1"	"-"	"protein_coding"	105	"opposite"	"11591_ID"	"Hace1"	"Gm24817"
"7775"	"ENST00000517143.1"	"ENST00000218867.4"	"chr13"	23791570	23791673	"RNU6-58P"	"-"	"snRNA"	"chr13"	23755117	23899301	"SGCG"	"+"	"protein_coding"	103	"opposite"	"11361_ID"	"Sgcg"	"Gm23676"
"7792"	"ENST00000517192.1"	"ENST00000503008.5"	"chr4"	164749951	164750265	"RN7SKP105"	"-"	"misc_RNA"	"chr4"	164445869	165305202	"MARCHF1"	"-"	"protein_coding"	314	"same"	"9762_ID"	"Marchf1"	"7SK"
"7793"	"ENST00000517192.1"	"ENST00000503008.5"	"chr4"	164749951	164750265	"RN7SKP105"	"-"	"misc_RNA"	"chr4"	164445869	165305202	"MARCHF1"	"-"	"protein_coding"	314	"same"	"9762_ID"	"Marchf1"	"7SK"
"7794"	"ENST00000517197.1"	"ENST00000482518.6"	"chr2"	230101055	230101325	"RN7SKP283"	"-"	"misc_RNA"	"chr2"	229715241	230109776	"PID1"	"-"	"processed_transcript"	270	"same"	"9877_ID"	"Pid1"	"7SK"
"7795"	"ENST00000517197.1"	"ENST00000482518.6"	"chr2"	230101055	230101325	"RN7SKP283"	"-"	"misc_RNA"	"chr2"	229715241	230109776	"PID1"	"-"	"processed_transcript"	270	"same"	"9877_ID"	"Pid1"	"7SK"
"7796"	"ENST00000517197.1"	"ENST00000482518.6"	"chr2"	230101055	230101325	"RN7SKP283"	"-"	"misc_RNA"	"chr2"	229715241	230109776	"PID1"	"-"	"processed_transcript"	270	"same"	"9877_ID"	"Pid1"	"7SK"
"7807"	"ENST00000517215.1"	"ENST00000307980.7"	"chr11"	67162680	67162782	"RNU6-1238P"	"-"	"snRNA"	"chr11"	67159456	67165881	"RAD9A"	"+"	"protein_coding"	102	"opposite"	"10934_ID"	"Rad9a"	"U6"
"7808"	"ENST00000517215.1"	"ENST00000307980.7"	"chr11"	67162680	67162782	"RNU6-1238P"	"-"	"snRNA"	"chr11"	67159456	67165881	"RAD9A"	"+"	"protein_coding"	102	"opposite"	"10934_ID"	"Rad9a"	"U6"
"7811"	"ENST00000517223.1"	"ENST00000341048.9"	"chr5"	55421497	55421597	"RNU6-299P"	"+"	"snRNA"	"chr5"	55395506	55529157	"ANKRD55"	"-"	"protein_coding"	100	"opposite"	"11140_ID"	"Ankrd55"	"Gm23093"
"7812"	"ENST00000517223.1"	"ENST00000341048.9"	"chr5"	55421497	55421597	"RNU6-299P"	"+"	"snRNA"	"chr5"	55395506	55529157	"ANKRD55"	"-"	"protein_coding"	100	"opposite"	"11140_ID"	"Ankrd55"	"Gm22540"
"7832"	"ENST00000517255.1"	"ENST00000261716.8"	"chr17"	27751779	27751885	"RNU6-711P"	"-"	"snRNA"	"chr17"	27717380	27878921	"TAOK1"	"+"	"protein_coding"	106	"opposite"	"11445_ID"	"Taok1"	"Gm24851"
"7863"	"ENST00000517290.1"	"ENST00000531398.1"	"chr11"	111253816	111253944	"RNU2-60P"	"+"	"snRNA"	"chr11"	111228250	111320706	"POU2AF1"	"-"	"protein_coding"	128	"opposite"	"10649_ID"	"Pou2af1"	"Gm23907"
"7865"	"ENST00000517349.2"	"ENST00000355904.9"	"chr8"	30496096	30503581	"SMIM18"	"+"	"protein_coding"	"chr8"	30435834	30515753	"GTF2E2"	"-"	"protein_coding"	7485	"opposite"	"12128_ID"	"Gtf2e2"	"Smim18"
"7875"	"ENST00000517506.2"	"ENST00000336148.10"	"chr8"	95390604	95449180	"FSBP"	"-"	"nonsense_mediated_decay"	"chr8"	95384187	95487343	"RAD54B"	"-"	"protein_coding"	58576	"same"	"7085_ID"	"Rad54b"	"Fsbp"
"7987"	"ENST00000521006.5"	"ENST00000523148.5"	"chr10"	102729279	102745373	"SEMA4G"	"+"	"nonsense_mediated_decay"	"chr10"	102729214	102746953	"MRPL43"	"-"	"protein_coding"	16354	"opposite"	"12032_ID"	"Mrpl43"	"Sema4g"
"8041"	"ENST00000522781.6"	"ENST00000280333.9"	"chr10"	128933693	128994855	"INSYN2A"	"-"	"protein_coding"	"chr10"	128593977	129250781	"DOCK1"	"+"	"protein_coding"	61166	"opposite"	"7360_ID"	"Dock1"	"Insyn2a"
"8095"	"ENST00000524482.5"	"ENST00000530451.1"	"chr11"	64889654	64894828	"MRPL49"	"+"	"processed_transcript"	"chr11"	64889251	64897458	"SYVN1"	"-"	"retained_intron"	5189	"opposite"	"9165_ID"	"Syvn1"	"Mrpl49"
"8106"	"ENST00000525361.5"	"ENST00000534396.5"	"chr11"	82612739	82669319	"DDIAS"	"+"	"protein_coding"	"chr11"	82560955	82681626	"PRCP"	"-"	"protein_coding"	58303	"opposite"	"6779_ID"	"Prcp"	"Ddias"
"8128"	"ENST00000526387.5"	"ENST00000546202.5"	"chr11"	67171385	67177560	"TBC1D10C"	"+"	"protein_coding"	"chr11"	67168325	67188652	"PPP1CA"	"-"	"processed_transcript"	6175	"opposite"	"12628_ID"	"Ppp1ca"	"Tbc1d10c"
"8151"	"ENST00000526991.3"	"ENST00000334049.11"	"chr18"	11851411	11854443	"CHMP1B"	"+"	"protein_coding"	"chr18"	11689262	11885684	"GNAL"	"+"	"protein_coding"	3032	"same"	"6641_ID"	"Gnal"	"Chmp1b"
"8180"	"ENST00000527879.2"	"ENST00000525566.6"	"chr12"	104697516	104698983	"EID3"	"+"	"protein_coding"	"chr12"	104609556	104744085	"TXNRD1"	"+"	"protein_coding"	1467	"same"	"6884_ID"	"Txnrd1"	"Eid3"
"8192"	"ENST00000528288.5"	"ENST00000527690.1"	"chr11"	93474756	93497915	"C11orf54"	"+"	"protein_coding"	"chr11"	93472446	93517557	"TAF1D"	"-"	"protein_coding"	23159	"opposite"	"6469_ID"	"Taf1d"	"4931406C07Rik"
"8201"	"ENST00000528638.1"	"ENST00000526761.5"	"chr11"	77300435	77321054	"AQP11"	"+"	"processed_transcript"	"chr11"	77225980	77330740	"CLNS1A"	"-"	"nonsense_mediated_decay"	20966	"opposite"	"6324_ID"	"Clns1a"	"Aqp11"
"8208"	"ENST00000528848.3"	"ENST00000227756.5"	"chr11"	11373488	11374797	"CSNK2A3"	"-"	"protein_coding"	"chr11"	11292423	11643552	"GALNT18"	"-"	"protein_coding"	1309	"same"	"6721_ID"	"Galnt18"	"Csnk2a1"
"8221"	"ENST00000529533.6"	"ENST00000672621.1"	"chr11"	26580578	26593810	"MUC15"	"-"	"protein_coding"	"chr11"	26210388	26684835	"ANO3"	"+"	"protein_coding"	13232	"opposite"	"9186_ID"	"Ano3"	"Muc15"
"8226"	"ENST00000529803.1"	"ENST00000648180.1"	"chr11"	76813885	76814377	"OMP"	"+"	"protein_coding"	"chr11"	76778017	76837201	"CAPN5"	"+"	"protein_coding"	492	"same"	"9336_ID"	"Capn5"	"Omp"
"8232"	"ENST00000529983.3"	"ENST00000313546.8"	"chr12"	89913188	89918573	"GALNT4"	"-"	"protein_coding"	"chr12"	89813494	89919824	"POC1B"	"-"	"protein_coding"	5385	"same"	"7102_ID"	"Poc1b"	"Galnt4"
"8233"	"ENST00000529983.3"	"ENST00000548729.5"	"chr12"	89913188	89918573	"GALNT4"	"-"	"protein_coding"	"chr12"	89913184	89919975	"POC1B-GALNT4"	"-"	"protein_coding"	5385	"same"	"7101_ID"	"Galnt4"	"Galnt4"
"8234"	"ENST00000530028.3"	"ENST00000332408.9"	"chr15"	49170330	49172370	"EID1"	"+"	"protein_coding"	"chr15"	49115937	49256116	"SHC4"	"-"	"protein_coding"	2040	"opposite"	"6883_ID"	"Shc4"	"Eid1"
"8236"	"ENST00000530059.2"	"ENST00000637610.1"	"chr1"	54598640	54618595	"CDCP2"	"-"	"protein_coding"	"chr1"	54598358	54662106	"AL357673.1"	"-"	"nonsense_mediated_decay"	20803	"same"	"6599_ID"	"Cyb5rl"	"Cdcp2"
"8237"	"ENST00000530101.5"	"ENST00000527752.1"	"chr11"	65601449	65624367	"SNX32"	"+"	"retained_intron"	"chr11"	65590492	65625628	"CFL1"	"-"	"processed_transcript"	23063	"opposite"	"12481_ID"	"Cfl1"	"Snx32"
